uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_24ur_39,24ur_49,2022-11-30 14:43,"Slabo preteklost nosi s sabo tale Sašo, že iz šolskih dni ! Starši sošolcev se ga spominjajo kot brutalneža, malega sadista in razgrajača...očka in mamica sta pač iz krogov, kjer je to vse dovoljeno... V ""slavnih"" službah, tenisu, delnem vodenju trgovine (z bratom) in lokala, je pokazal vse negativne in primitivne nagone in odnose do ljudi, predvsem do delavcev. In ko je kandidiral za župana, se je marsikomu obrnil želodec in si ne želi več njegove bližine.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_34,24ur_50,2022-11-30 15:59,Franca je pa še slabši!,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_49
user_24ur_34,24ur_51,2022-11-30 14:30,"Maribor je za ene še kar v krizi, saj del Mariborčanov ponovno želi Duplečana za župana, čeprav je že bil gotof.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_40,24ur_52,2022-11-30 14:26,"Oba sta bila župana, zato odločitev ne bi smela biti težka. V kolikor ne gre, se odločite za tistega, katerega bi trenutno povabili na pijačo. Tretje ni v kolikor želite voliti.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_41,24ur_53,2022-11-30 14:26,On ima čoLn :D,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_34,24ur_54,2022-11-30 14:31,Dupleški kmet.,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_53
user_24ur_42,24ur_55,2022-11-30 14:08,"Važno da ima Hrvaško zastavo,kaj ga je sram da je Slovenec ,ali pa nima denarja da bi plačal davek ob prepisu,lahko bi kompenziral z senom kot hrano za osle ki ga bodo volili",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_43,24ur_56,2022-11-30 14:42,če je ladja na Hrvaškem mora imeti tudi hrvaško zastavo,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_55
user_24ur_42,24ur_57,2022-11-30 15:58,"ladja je na hrvaškem zato ker ni zanjo plačan davek v Sloveniji v kolikor je davek plačan je lahko pod zastavo drzave kjer je davek plačan,po tvoji teoriji bi na hrvaških parkirišcih smel parkirati samo z hrvaško registracijo",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_55
user_24ur_44,24ur_58,2022-11-30 14:04,SE PRAVI DA HOČE ARSENOVIČ KONKURIRATI IN PRISLUŽITI JAHTO NA RAČUN DAVKOPLAČEVALCEV,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
