uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_rtv_16,rtv_44,2022-12-05 19:05,"Čak, a vsem so mislil 5500 eur dati. Pa do leta 2025 vsem po 7500? Če je povprečje 1980, minimalec pa 800, koliko ljudi je ob to bogato povišnico? 3%? Svinje bi se debelile, tisti ki komaj preživijo pa naj crknejo?",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_4,rtv_45,2022-12-5 19:43,"Čak, a vsem so mislil 5500 eur dati. Pa do leta 2025 vsem po 7500?Gre za olajšavo na letni prihodek.Hoteli so zvišati olajšave za ljudi z najnižjimi prihodki. In malce bolj obdavčiti tiste, ki imajo najvišje.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_22,rtv_46,2022-12-5 19:29,desnica) strikes back.,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_47
user_rtv_23,rtv_48,2022-12-5 17:59,Narod dobi to kar voli...,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_49
user_rtv_5,rtv_50,2022-12-5 16:36,"Dajte si vi zapomnit, kako je kdo glasoval aprila... in zakaj...Pobrani davki se v največji meri namenjajo za pokojninsko in zdravstveno zavarovanje. Financira se še izobraževanje, ekonomske dejavnosti (trgovina, transport, kmetijstvo …), javni red in varnost, rekreacija, kultura, religija… Servisira se javni dolg. Najmanjši del pobranih davkov se namenja za okolje in prostor ter vojsko.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_1
user_rtv_24,rtv_51,2022-12-05 19:01,Če ljudje niso dovolj pametni zase ... #samodanijansa #rajenizkeplače,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_25,rtv_52,2022-12-5 18:51,Državni zbor bi morali ukiniti!!!!,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_53
user_rtv_9,rtv_53,2022-12-05 17:36,"Tako je, ampak tega nekateri ne bodo nikoli skapirali. Tudi trg dela je treba odpreti. Pri nas si vsi želijo pogodbe za nedoločen čas in potem stagniranje do penzije. S tem ne narediš usluge sebi in ne delodajalcu, posledično si manj produktiven in posledično tudi manj gre v davčno blagajno. Vsi, ki so kdaj bili v tujini znajo povedati, da ni nobena težava menjati službe, če je trg dela odprt.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_26,rtv_54,2022-12-5 18:28,"A če imaš službo za nedoločen čas, je ne smeš menjati, ko ti več delo tam ne ustreza?:O",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_14
user_rtv_9,rtv_53,2022-12-05 17:36,"Tako je, ampak tega nekateri ne bodo nikoli skapirali. Tudi trg dela je treba odpreti. Pri nas si vsi želijo pogodbe za nedoločen čas in potem stagniranje do penzije. S tem ne narediš usluge sebi in ne delodajalcu, posledično si manj produktiven in posledično tudi manj gre v davčno blagajno. Vsi, ki so kdaj bili v tujini znajo povedati, da ni nobena težava menjati službe, če je trg dela odprt.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_14
